transaction_type,transaction_date,settle_date,symbol,isin,description,quantity,cost_eur,coefficient,actualized_cost_eur,proceeds_eur,gross_amount_eur,gain_loss_eur,deferred_loss_eur,integrable_amount_eur,foreign_tax_eur,treaty_capped_credit_eur,savings_group,notes
Capital Gain,2026-04-15,2026-04-17,AAPL,US0378331005,AAPL,100.00,9000.00,,10908.00,22500.00,,11592.00,0.00,11592.00,,,GyP,
Lot,2021-03-10,,AAPL,,FIFO lot acquired 2021-03-10,100.00,9000.00,1.212,10908.00,22500.00,,11592.00,,,,,GyP,9000.00 × 1.212 = 10908.00
Capital Gain,2026-09-15,2026-09-17,AAPL,US0378331005,AAPL,100.00,18000.00,,18900.00,27000.00,,8100.00,0.00,8100.00,,,GyP,
Lot,2024-06-10,,AAPL,,FIFO lot acquired 2024-06-10,100.00,18000.00,1.050,18900.00,27000.00,,8100.00,,,,,GyP,18000.00 × 1.050 = 18900.00

# The cuota is computed once on the year's base after group compensation, NOT summed
# from the rows: the savings scale is progressive, so per-row taxes would not add up.
summary_key,label,value_eur
SUMMARY_REGIME,Gipuzkoa (Norma Foral 3/2014),2026
SUMMARY_RCM_DIVIDENDS,Dividendos (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_DIVIDEND_EXEMPTION,Dividendos exentos — límite 1.500 € anuales (NF 3/2014 art. 9.24 — sólo Gipuzkoa),0.00
SUMMARY_RCM_INTEREST,Intereses (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_INTEREST_PAID,Intereses pagados sobre saldo prestado (informativo — no deducibles),0.00
SUMMARY_RCM_DEDUCTIBLE_FEES,Gastos deducibles de administración y depósito,0.00
SUMMARY_RCM_NET,Rendimiento neto del capital mobiliario,0.00
SUMMARY_GYP_CAPITAL_GAINS,Ganancias y pérdidas por transmisión de valores,19692.00
SUMMARY_GYP_FX,Ganancias y pérdidas por conversión de divisa,0.00
SUMMARY_GYP_DEFERRED,Pérdidas diferidas por valores homogéneos (no deducibles este año),0.00
SUMMARY_GYP_REINTEGRATED,Pérdidas diferidas reintegradas al transmitirse los valores que las bloqueaban,0.00
SUMMARY_GYP_NET,Saldo de ganancias y pérdidas patrimoniales,19692.00
SUMMARY_RCM_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (RCM) — NF 3/2014 art. 66.1.a: los rendimientos se integran y compensan exclusivamente entre sí y en la cuantía máxima que permita cada ejercicio (art. 66.2) — sólo Gipuzkoa,0.00
SUMMARY_GYP_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (ganancias) — NF 3/2014 art. 66.1.b: las ganancias y pérdidas se integran y compensan exclusivamente entre sí y en la cuantía máxima que permita cada ejercicio (art. 66.2) — sólo Gipuzkoa,0.00
SUMMARY_CROSS_OFFSET_RCM_TO_GYP,Compensación cruzada RCM → ganancias — fase 1ª (25% — sólo Territorio Común),0.00
SUMMARY_CROSS_OFFSET_GYP_TO_RCM,Compensación cruzada ganancias → RCM — fase 1ª (25% — sólo Territorio Común),0.00
