transaction_type,transaction_date,settle_date,symbol,isin,description,quantity,cost_eur,coefficient,actualized_cost_eur,proceeds_eur,gross_amount_eur,gain_loss_eur,deferred_loss_eur,integrable_amount_eur,foreign_tax_eur,treaty_capped_credit_eur,savings_group,notes
Dividend,2026-05-20,2026-05-20,AAPL,,AAPL,,,,,,900.00,,,,270.00,135.00,RCM,
Interest,2026-06-30,2026-06-30,CASH,,Broker interest received,,,,,,90.00,,,,,,RCM,
Fee,2026-07-15,2026-07-15,,,CUSTODY FEE,,,,,,45.00,,,,,,RCM,

# The cuota is computed once on the year's base after group compensation, NOT summed
# from the rows: the savings scale is progressive, so per-row taxes would not add up.
summary_key,label,value_eur
SUMMARY_REGIME,Navarra (Decreto Foral Legislativo 4/2008),2026
SUMMARY_RCM_DIVIDENDS,Dividendos (rendimientos del capital mobiliario),900.00
SUMMARY_RCM_DIVIDEND_EXEMPTION,Dividendos exentos — límite 1.500 € anuales (NF 3/2014 art. 9.24 — sólo Gipuzkoa),0.00
SUMMARY_RCM_INTEREST,Intereses (rendimientos del capital mobiliario),90.00
SUMMARY_RCM_INTEREST_PAID,Intereses pagados sobre saldo prestado (informativo — no deducibles),0.00
SUMMARY_RCM_DEDUCTIBLE_FEES,Gastos deducibles de administración y depósito,27.00
SUMMARY_RCM_FEE_CAP,Límite del 3% de los ingresos íntegros no exentos (TRLFIRPF art. 32.1.a — sólo Navarra),27.00
SUMMARY_RCM_FEES_OVER_CAP,Gastos de administración y depósito excluidos por el límite del 3%,18.00
SUMMARY_RCM_NET,Rendimiento neto del capital mobiliario,963.00
SUMMARY_GYP_CAPITAL_GAINS,Ganancias y pérdidas por transmisión de valores,0.00
SUMMARY_GYP_FX,Ganancias y pérdidas por conversión de divisa (TRLFIRPF art. 54.1.b) — se gravan íntegras: no se les aplica la exención del art. 39.5.d ni cuentan para su importe global (registro §13 de docs/spain-taxes.md),0.00
SUMMARY_GYP_DEFERRED,Pérdidas diferidas por valores homogéneos (no deducibles este año),0.00
SUMMARY_GYP_REINTEGRATED,Pérdidas diferidas reintegradas al transmitirse los valores que las bloqueaban,0.00
SUMMARY_GYP_NET,Saldo de ganancias y pérdidas patrimoniales,0.00
SUMMARY_RCM_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (RCM) — art. 54.2.a: sólo si el resultado del ejercicio es positivo y con el límite de cero — sólo Navarra,0.00
