transaction_type,transaction_date,settle_date,symbol,isin,description,quantity,cost_eur,coefficient,actualized_cost_eur,proceeds_eur,gross_amount_eur,gain_loss_eur,deferred_loss_eur,integrable_amount_eur,foreign_tax_eur,treaty_capped_credit_eur,savings_group,notes
Capital Gain,2026-05-15,2026-05-19,AAPL,US0378331005,AAPL,6.00,540.00,,540.00,1620.00,,1080.00,0.00,1080.00,,,GyP,
Lot,2025-03-10,,AAPL,,FIFO lot acquired 2025-03-10,6.00,540.00,1.000,540.00,1620.00,,1080.00,,,,,GyP,540.00 × 1.000 = 540.00
Capital Gain,2026-09-15,2026-09-17,AAPL,US0378331005,AAPL,4.00,360.00,,360.00,450.00,,90.00,0.00,90.00,,,GyP,
Lot,2025-03-10,,AAPL,,FIFO lot acquired 2025-03-10,4.00,360.00,1.000,360.00,450.00,,90.00,,,,,GyP,360.00 × 1.000 = 360.00

# The cuota is computed once on the year's base after group compensation, NOT summed
# from the rows: the savings scale is progressive, so per-row taxes would not add up.
summary_key,label,value_eur
SUMMARY_REGIME,Navarra (Decreto Foral Legislativo 4/2008),2026
SUMMARY_RCM_DIVIDENDS,Dividendos (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_DIVIDEND_EXEMPTION,Dividendos exentos — límite 1.500 € anuales (NF 3/2014 art. 9.24 — sólo Gipuzkoa),0.00
SUMMARY_RCM_INTEREST,Intereses (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_INTEREST_PAID,Intereses pagados sobre saldo prestado (informativo — no deducibles),0.00
SUMMARY_RCM_DEDUCTIBLE_FEES,Gastos deducibles de administración y depósito,0.00
SUMMARY_RCM_FEE_CAP,Límite del 3% de los ingresos íntegros no exentos (TRLFIRPF art. 32.1.a — sólo Navarra),0.00
SUMMARY_RCM_FEES_OVER_CAP,Gastos de administración y depósito excluidos por el límite del 3%,0.00
SUMMARY_RCM_NET,Rendimiento neto del capital mobiliario,0.00
SUMMARY_GYP_CAPITAL_GAINS,Ganancias y pérdidas por transmisión de valores,1170.00
SUMMARY_GYP_FX,Ganancias y pérdidas por conversión de divisa (TRLFIRPF art. 54.1.b) — se gravan íntegras: no se les aplica la exención del art. 39.5.d ni cuentan para su importe global (registro §13 de docs/spain-taxes.md),0.00
SUMMARY_GYP_SMALL_DISPOSALS_EXEMPTION,Incrementos exentos por transmisiones onerosas hasta 3.000 € (TRLFIRPF art. 39.5.d — sólo Navarra),1035.00
SUMMARY_GYP_DEFERRED,Pérdidas diferidas por valores homogéneos (no deducibles este año),0.00
SUMMARY_GYP_REINTEGRATED,Pérdidas diferidas reintegradas al transmitirse los valores que las bloqueaban,0.00
SUMMARY_GYP_NET,Saldo de ganancias y pérdidas patrimoniales,135.00
SUMMARY_RCM_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (RCM) — art. 54.2.a: sólo si el resultado del ejercicio es positivo y con el límite de cero — sólo Navarra,0.00
SUMMARY_GYP_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (ganancias) — art. 54.2.b: sólo si el resultado del ejercicio es positivo y con el límite de cero — sólo Navarra,0.00
SUMMARY_CROSS_OFFSET_RCM_TO_GYP,Compensación cruzada RCM → ganancias — art. 54.2.a: 25% del saldo positivo resultante de la letra b) — sólo Navarra,0.00
