transaction_type,transaction_date,settle_date,symbol,isin,description,quantity,cost_eur,coefficient,actualized_cost_eur,proceeds_eur,gross_amount_eur,gain_loss_eur,deferred_loss_eur,integrable_amount_eur,foreign_tax_eur,treaty_capped_credit_eur,savings_group,notes
Capital Gain,2026-03-10,2026-03-12,AAPL,US0378331005,AAPL,100.00,9000.00,,9000.00,8100.00,,-900.00,360.00,-540.00,,,GyP,€360.00 of this loss is deferred: homogeneous securities were acquired within two months of the sale (NF 3/2014 art. 43.g / LIRPF art. 33.5.f / TRLFIRPF art. 39.6.f)
Lot,2026-01-05,,AAPL,,FIFO lot acquired 2026-01-05,100.00,9000.00,1.000,9000.00,8100.00,,-900.00,,,,,GyP,9000.00 × 1.000 = 9000.00
Capital Gain,2026-11-15,2026-11-17,AAPL,US0378331005,AAPL,30.00,2070.00,,2070.00,2700.00,,630.00,0.00,630.00,,,GyP,
Lot,2026-04-20,,AAPL,,FIFO lot acquired 2026-04-20,25.00,1800.00,1.000,1800.00,2250.00,,450.00,,,,,GyP,1800.00 × 1.000 = 1800.00
Lot,2026-05-05,,AAPL,,FIFO lot acquired 2026-05-05,5.00,270.00,1.000,270.00,450.00,,180.00,,,,,GyP,270.00 × 1.000 = 270.00
Wash Sale Reintegration,2026-11-15,,AAPL,US0378331005,Deferred loss released by the disposal of shares acquired 2026-04-20,,,,,,,-225.00,,-225.00,,,GyP,Deferred by the sale of 2026-03-10 (NF 3/2014 art. 43 closing ¶ / LIRPF art. 33.5 closing ¶ / TRLFIRPF art. 39.6 closing ¶)
Wash Sale Reintegration,2026-11-15,,AAPL,US0378331005,Deferred loss released by the disposal of shares acquired 2026-05-05,,,,,,,-45.00,,-45.00,,,GyP,Deferred by the sale of 2026-03-10 (NF 3/2014 art. 43 closing ¶ / LIRPF art. 33.5 closing ¶ / TRLFIRPF art. 39.6 closing ¶)

# The cuota is computed once on the year's base after group compensation, NOT summed
# from the rows: the savings scale is progressive, so per-row taxes would not add up.
summary_key,label,value_eur
SUMMARY_REGIME,Gipuzkoa (Norma Foral 3/2014),2026
SUMMARY_RCM_DIVIDENDS,Dividendos (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_DIVIDEND_EXEMPTION,Dividendos exentos — límite 1.500 € anuales (NF 3/2014 art. 9.24 — sólo Gipuzkoa),0.00
SUMMARY_RCM_INTEREST,Intereses (rendimientos del capital mobiliario),0.00
SUMMARY_RCM_INTEREST_PAID,Intereses pagados sobre saldo prestado (informativo — no deducibles),0.00
SUMMARY_RCM_DEDUCTIBLE_FEES,Gastos deducibles de administración y depósito,0.00
SUMMARY_RCM_NET,Rendimiento neto del capital mobiliario,0.00
SUMMARY_GYP_CAPITAL_GAINS,Ganancias y pérdidas por transmisión de valores,90.00
SUMMARY_GYP_FX,Ganancias y pérdidas por conversión de divisa,0.00
SUMMARY_GYP_DEFERRED,Pérdidas diferidas por valores homogéneos (no deducibles este año),360.00
SUMMARY_GYP_REINTEGRATED,Pérdidas diferidas reintegradas al transmitirse los valores que las bloqueaban,270.00
SUMMARY_GYP_NET,Saldo de ganancias y pérdidas patrimoniales,-180.00
SUMMARY_RCM_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (RCM) — NF 3/2014 art. 66.1.a: los rendimientos se integran y compensan exclusivamente entre sí y en la cuantía máxima que permita cada ejercicio (art. 66.2) — sólo Gipuzkoa,0.00
SUMMARY_GYP_LOSSES_APPLIED,Saldos negativos de ejercicios anteriores aplicados al propio grupo (ganancias) — NF 3/2014 art. 66.1.b: las ganancias y pérdidas se integran y compensan exclusivamente entre sí y en la cuantía máxima que permita cada ejercicio (art. 66.2) — sólo Gipuzkoa,0.00
SUMMARY_CROSS_OFFSET_RCM_TO_GYP,Compensación cruzada RCM → ganancias — fase 1ª (25% — sólo Territorio Común),0.00
SUMMARY_CROSS_OFFSET_GYP_TO_RCM,Compensación cruzada ganancias → RCM — fase 1ª (25% — sólo Territorio Común),0.00
